date,open,close,volume
2015-10-14,106.5,105.73,5563643
2015-10-15,106.5,107.89,6739184
2015-10-16,108.27,108.24,5908875
2015-10-19,108.25,109.47,8001900
2015-10-20,109.55,109.84,9674422
2015-10-21,110.67,110.09,8781423
2015-10-22,110.67,113.25,10028949
2015-10-23,114.21,113.09,7928447
2015-10-26,113.07,113.52,5729552
2015-10-27,113.29,113.77,5857562
2015-10-28,113.97,114.34,6452873
2015-10-29,114.34,115.04,6125112
2015-10-30,115.0,113.74,8501634
2015-11-02,114.49,115.04,6949528
2015-11-03,114.97,115.54,7132081
2015-11-04,116.64,113.25,20740831
2015-11-05,113.26,113.0,14843729
2015-11-06,114.6,115.67,16803396
2015-11-09,115.9,116.42,9317475
2015-11-10,116.17,117.42,8240533
2015-11-11,117.55,116.52,6381663
2015-11-12,115.6,116.21,7222996
2015-11-13,115.92,114.84,8078066
2015-11-16,113.47,115.92,5770158
2015-11-17,116.11,116.13,6434432
2015-11-18,116.22,118.14,6744634
2015-11-19,118.15,118.71,6100998
2015-11-20,119.11,120.07,10821723
2015-11-23,120.3,119.42,6986409
2015-11-24,117.9,117.95,9158183
2015-11-25,118.29,118.67,4751518
2015-11-27,116.0,115.13,14912040
2015-11-30,115.56,113.47,16560317
2015-12-01,114.15,115.39,8896142
2015-12-02,115.39,114.0,7787769
2015-12-03,114.17,111.89,10446637
2015-12-04,112.74,114.24,8771297
2015-12-07,114.56,113.83,6738532
2015-12-08,113.35,112.48,7480562
2015-12-09,112.39,111.47,9050676
2015-12-10,111.15,110.76,7030152
2015-12-11,109.91,108.04,12333768
2015-12-14,108.68,109.35,9702553
2015-12-15,112.05,112.16,13361688
2015-12-16,114.69,113.79,12304503
2015-12-17,114.13,112.01,9375035
2015-12-18,112.01,107.72,28376912
2015-12-21,108.8,106.59,22847155
2015-12-22,106.99,106.74,8644464
2015-12-23,107.21,105.56,12372933
2015-12-24,105.2,105.86,4356193
2015-12-28,106.5,107.25,9092705
2015-12-29,107.88,107.08,8607249
